"Nome Urna			Partido"
"LENISE MENEGHETTI			PRB"
"LEO BRITTO			PDT"
"LEO GUERREIRO			PROS"
"LEÓ MATHEUS			PC do B"
"LEOZÃO			PPL"
"LGM			NOVO"
"LIDIA RIBEIRO			PMN"
"LIMA NETO			DEM"
"LINDA MARTINS			PRB"
"LINDOBEX			PP"
"LINDOLFO MAGALHÃES			PRP"
"LIPPE VIANA			PTC"
"LIRA			PHS"
"LIZIANE BRAUNER			REDE"
"LORD AZENHA			DEM"
"LUANA LIMA			PRB"
"LUCIA BESSA			PPS"
"LÚCIA FÉLIX			PSDB"
"LUCIANO DO JOAOZAO			PROS"
"LUCIANO FRANCO			PR"
"LUCIANO GONZAGA			PTB"
"LUCIMAR			PT"
"LUCIMARA FAGUNDES			PSDB"
"LUCIMAR ASSISTENTE SOCIAL			PR"
"LUCINHA DA SAÚDE			DEM"
"LUDMILA SUAID			PSOL"
"LUIS FARMA			PPL"
"LUISINHO			PT"
"LUIZ AFONSO			PP"
"LUIZA GOMES			PT"
"LULO SENA			AVANTE"
"LURDINHA CÂNDIDO			PSD"
"LUZIA DE PAULA			PSB"
"LUZIA LEITE			REDE"
"MAGAL DO POVÃO			MDB"
"MAGDA LEITE			PP"
"MAGELA			PT"
"MAICON MIRANDA			AVANTE"
"MAJOR CHRISTIANE			PV"
"MAJOR LOURIVAL			AVANTE"
"MAJOR SOUZA			PRB"
"MANDATO COLETIVO			PSOL"
"MARA DE TODOS			PSDB"
"MARCELA AMAZONAS			PRP"
"MARCELO GUIMARAES			PROS"
"MARCELO MARQUES			PROS"
"MARCELO OTTONI			PV"
"MARCELO VIGILANTE			PSOL"
"MARCELO X			DEM"
"MÁRCIA DE ALENCAR			PSB"
"MARCIA GAMA			PR"
"MÁRCIA RIBEIRO			NOVO"
"MARCINHA TAXISTA			PHS"
"MÁRCIO CARDOSO			PATRI"
"MARCIO DOS FEIRANTES			MDB"
"MARCO ROSA			SOLIDARIEDADE"
"MARCOS MAURÍCIO			AVANTE"
"MARCOS MORENO			PROS"
"MARCOS NOGUEIRA			PSC"
"MARCUS ABREU			REDE"
"MARIA ADELIA			PSC"
"MARIA CASSIANO			PP"
"MARIA DO CARMO PAULINO			PMB"
"MARIA DUCLERIO			PR"
"MARIA JOSÉ DO TORORÓ			PSB"
"MARIANA DUARTE			PPS"
"MARIANA ROSA			PT"
"MARIA SONEIDE			SOLIDARIEDADE"
"MARIA TEREZA			PPS"
"MARINALDA SANTOS			PTB"
"MARIO BLANCO			PPL"
"MARIZETE DA SAUDE			PROS"
"MARIZIA BONIFACIO			PROS"
"MARLENE DAMAZIO			PV"
"MARLI CAMPOS			MDB"
"MARLON COSTA			PSB"
"MARRETA			PHS"
"MARTA LIMA 			REDE"
"MARTINS MACHADO			PRB"
"MARYLIA TAVARES			PMN"
"MATHEUS LOPES			PSL"
"MAURÃO			PC do B"
"MAURO EVANGELISTA			PDT"
"MAURO PORTO			NOVO"
"MAX MACIEL			PSOL"
"MAYK MONTALVÃO			PTC"
"MAZINHO VENTURA			PTB"
"MC BANDIDA			AVANTE"
"MC LANA			PMB"
"MESAQUE			PSC"
"MICHAEL LEAL			REDE"
"MICHEL PLATINI			PT"
